sitear	neighbourhood	organisat	governorateor	districtor	photo	environment	governorate	district	phone	householdnum	household	men	women	boys	girls	individual	water_access	water_quality	electric	openelement	damage	hazards	mines	fighting	geo	Improvised_Shelter	Tent	Individual_mud_building	Individual_mix_building	Individual_concrete_building	Shop	Apartment_block	Under_construction	opensite	abandonned	unfinished	class	accom	cluster	scoreclass	longitude	latitude
Œ»« 	”Êﬁ	iom	Dahuk	Sumel	1413361399656.jpg	city_centre	Dahuk	Sumel	7507203107	d. 6-7	33	75	45	40	33	193	4.None	3.Minor	2.Moderate	2.Moderate	3.Minor	4.None	4.None	4.None	"36.8593018201596,42.8523199233855"	0	0	0	0	0	0	0	1	No	No	Yes	c. 100-249	Unfinished 	Cluster 1	3.Medium	42.85231992	36.85930182
Œ»« 	›—«‘Ì‰	iom	Dahuk	Sumel	1413362327100.jpg	city_centre	Dahuk	Sumel	7503228354	e. 8-10	5	7	8	9	12	36	2.Moderate	2.Moderate	2.Moderate	2.Moderate	4.None	4.None	4.None	4.None	"36.8601567713263,42.8516832465536"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 2	4.Low	42.85168325	36.86015677
Œ»« 	›—«‘Ì‰	iom	Dahuk	Sumel	1413363043117.jpg	city_centre	Dahuk	Sumel	7507848178	5-Apr	10	10	12	15	12	49	4.None	3.Minor	4.None	4.None	4.None	4.None	4.None	4.None	"36.8598299179963,42.8527746609584"	0	0	0	1	0	0	0	0	No	Yes	No	a. 0-49	 Concrete 	Cluster 1	4.Low	42.85277466	36.85982992
Œ»« 	”Êﬁ	iom	Dahuk	Sumel	1413363694364.jpg	city_centre	Dahuk	Sumel	7502103275	e. 8-10	8	10	11	21	19	61	3.Minor	3.Minor	3.Minor	4.None	4.None	4.None	4.None	4.None	"36.8595957989883,42.844846098026"	0	0	0	0	0	1	0	0	No	Yes	No	b. 50-99	 Shop 	Cluster 1	4.Low	42.8448461	36.8595958
„Õ· œÊ»«‰	”Êﬁ	iom	Dahuk	Sumel	1413364221553.jpg	city_centre	Dahuk	Sumel	7504158135	d. 6-7	25	35	31	32	35	133	4.None	3.Minor	4.None	4.None	4.None	4.None	4.None	4.None	"36.859189666348,42.8452771267631"	0	0	0	0	0	1	0	0	No	Yes	No	c. 100-249	 Shop 	Cluster 1	4.Low	42.84527713	36.85918967
“Ì—Ì‰	„”Ì—Ìﬂ	iom	Dahuk	Sumel	1413365524249.jpg	city_centre	Dahuk	Sumel	7507956175	5-Apr	5	7	6	3	4	20	3.Minor	2.Moderate	2.Moderate	2.Moderate	2.Moderate	4.None	4.None	4.None	"36.8565369728179,42.831676659828"	0	0	0	0	0	1	0	0	No	Yes	No	a. 0-49	 Shop 	Cluster 2	3.Medium	42.83167666	36.85653697
“Ì—Ì‰	„”Ì—Ìﬂ	iom	Dahuk	Sumel	1413366010666.jpg	city_centre	Dahuk	Sumel	7503325468	5-Apr	8	10	13	5	8	36	3.Minor	2.Moderate	2.Moderate	2.Moderate	3.Minor	4.None	4.None	4.None	"36.8560078596835,42.8314193112083"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	3.Medium	42.83141931	36.85600786
“Ì—Ì‰	ﬂ·«›‘	iom	Dahuk	Sumel	1413367363890.jpg	city_centre	Dahuk	Sumel	7707424093	e. 8-10	6	16	10	11	15	52	3.Minor	3.Minor	2.Moderate	2.Moderate	4.None	4.None	4.None	4.None	"36.8589531604727,42.8339333486724"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 1	3.Medium	42.83393335	36.85895316
ÂÌﬂ· ÕÃÌ ‘„Ê	ﬂ—Ì »«‰Ì	drc	Dahuk	Sumel	1413275337570.jpg	city_suburb	Dahuk	Sumel	7507031885	f. >10	21	50	35	70	65	220	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"36.7801144905388,42.930196383968"	0	0	0	0	0	0	0	1	No	No	Yes	c. 100-249	Unfinished 	Cluster 1	5.None	42.93019638	36.78011449
ÿ—Ìﬁ Œ«‰ﬂÌ	“Ì—Ì‰	iom	Dahuk	Sumel	1413368281394.jpg	city_centre	Dahuk	Sumel	7507870293	d. 6-7	12	11	21	24	14	70	3.Minor	2.Moderate	2.Moderate	3.Minor	4.None	4.None	4.None	4.None	"36.8471067856764,42.833651950212"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 1	3.Medium	42.83365195	36.84710679
„‰“· «»—«ÂÌ„ ÌÊ‰” «Õ„œ	—Õ„«‰Ì…	drc	Dahuk	Sumel	1413356353240.jpg	isolated	Dahuk	Sumel	7709143388	d. 6-7	10	13	12	23	15	63	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"36.7447871156037,42.8231353405863"	0	0	1	0	0	0	0	0	No	Yes	No	b. 50-99	 Mix 	Cluster 1	5.None	42.82313534	36.74478712
œﬂ«‰ ‘«„· ÌÊ‰”	“Ì‰« 	drc	Dahuk	Sumel	1413373503577.jpg	isolated	Dahuk	Sumel	7507831179	d. 6-7	5	8	7	9	8	32	2.Moderate	3.Minor	3.Minor	4.None	4.None	4.None	4.None	4.None	"36.7760397959501,42.7941617835313"	0	0	0	0	0	1	0	0	No	Yes	No	a. 0-49	 Shop 	Cluster 2	4.Low	42.79416178	36.7760398
ÂÌﬂ· ⁄Ì”Ï 	“Ì‰Ì« 	drc	Dahuk	Sumel	1413374170020.jpg	isolated	Dahuk	Sumel	7503622717	e. 8-10	5	10	7	12	13	42	4.None	4.None	3.Minor	4.None	4.None	4.None	4.None	4.None	"36.773519651033,42.7955561131239"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	5.None	42.79555611	36.77351965
 ÂÌﬂ· ÌÊ”› œ«Êœ ”·Ì„«‰	ﬂ„Ê‰…	drc	Dahuk	Sumel	1413376406829.jpg	isolated	Dahuk	Sumel	7704168652	f. >10	5	5	5	20	25	55	2.Moderate	3.Minor	4.None	4.None	4.None	4.None	4.None	4.None	"36.7666166089475,42.762985965237"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 2	4.Low	42.76298597	36.76661661
ﬂ„Ê‰…	ÂÌﬂ· ”·«„ ‘ÌŒ „Ê”∆	drc	Dahuk	Sumel	1413376816343.jpg	isolated	Dahuk	Sumel	7502311754	e. 8-10	5	12	10	16	5	43	1.Major	1.Major	4.None	4.None	4.None	4.None	4.None	4.None	"36.768639581278,42.7636559307575"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 2	3.Medium	42.76365593	36.76863958
ÂÌﬂ· Õ”Ì‰ Ã—ÃÌ”	ﬂ„Ê‰…	drc	Dahuk	Sumel	1413377107640.jpg	isolated	Dahuk	Sumel	7501677998	e. 8-10	5	15	10	6	5	36	1.Major	1.Major	1.Major	4.None	4.None	4.None	4.None	4.None	"36.7687215143815,42.7637624647468"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 2	3.Medium	42.76376246	36.76872151
999	”ÌÃÌ	reach	Dahuk	Sumel	1413375201434.jpg	isolated	Dahuk	Sumel	7503040649	e. 8-10	7	15	7	16	14	52	2.Moderate	2.Moderate	3.Minor	2.Moderate	4.None	4.None	4.None	4.None	"36.9204539341561,42.8794478956026"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 2	4.Low	42.8794479	36.92045393
”—‘Ê—	ﬁ—Ì… „ﬁ»·…	reach	Dahuk	Sumel	1413373362489.jpg	town	Dahuk	Sumel	7507825408	d. 6-7	6	6	7	11	9	33	4.None	4.None	4.None	2.Moderate	3.Minor	4.None	4.None	4.None	"36.9131747733684,42.7843680044178"	0	0	1	0	0	0	0	0	No	Yes	No	a. 0-49	 Mix 	Cluster 1	4.Low	42.784368	36.91317477
999	”ÌÃÌ	reach	Dahuk	Sumel	1413377078560.jpg	town	Dahuk	Sumel	7503344813	e. 8-10	9	19	14	14	21	68	3.Minor	4.None	3.Minor	1.Major	4.None	4.None	4.None	4.None	"36.9121470843252,42.8881703051152"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 1	3.Medium	42.88817031	36.91214708
ÂÌﬂ· ÕÃÌ ‘„Ê	ﬂ—Ì »«‰Ì	drc	Dahuk	Sumel	1413275818503.jpg	isolated	Dahuk	Sumel	7503778402	d. 6-7	20	25	35	40	30	130	1.Major	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"36.7794919665903,42.9302912671119"	0	0	0	0	0	0	0	1	No	No	Yes	c. 100-249	Unfinished 	Cluster 2	4.Low	42.93029127	36.77949197
”—‘Ê—	„—Ì‰…	reach	Dahuk	Sumel	1413374017534.jpg	town	Dahuk	Sumel	7508860675	5-Apr	6	6	7	5	7	25	4.None	4.None	4.None	2.Moderate	4.None	4.None	4.None	4.None	"36.9124647122879,42.7845259503643"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	5.None	42.78452595	36.91246471
999	”ÌÃÌ	reach	Dahuk	Sumel	1413377783317.jpg	town	Dahuk	Sumel	7503419211	d. 6-7	5	7	5	4	11	27	2.Moderate	3.Minor	3.Minor	1.Major	4.None	4.None	4.None	4.None	"36.9115071737553,42.8885035964613"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	3.Medium	42.8885036	36.91150717
999	”ÌÃÌ	reach	Dahuk	Sumel	1413376297102.jpg	town	Dahuk	Sumel	7503346288	d. 6-7	5	11	5	7	8	31	3.Minor	3.Minor	3.Minor	2.Moderate	4.None	4.None	4.None	4.None	"36.9112052056076,42.8836937328844"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	3.Medium	42.88369373	36.91120521
„—Ì‰«	”—‘Ê—	reach	Dahuk	Sumel	1413376416603.jpg	town	Dahuk	Sumel	7502192878	5-Apr	40	70	65	25	30	190	4.None	4.None	4.None	2.Moderate	4.None	3.Minor	4.None	4.None	"36.9161983417937,42.7827205771825"	0	0	0	0	0	0	0	0	No	No	No	c. 100-249	 Tent 	Cluster 1	4.Low	42.78272058	36.91619834
999	”ÌÃÌ	reach	Dahuk	Sumel	1413378168741.jpg	town	Dahuk	Sumel	7503347255	e. 8-10	5	8	9	9	11	37	3.Minor	2.Moderate	3.Minor	2.Moderate	4.None	4.None	4.None	4.None	"36.9112381013027,42.8884977039149"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	4.Low	42.8884977	36.9112381
»Ì—Ê„Â —«	»«ŒÊ—‰Ì›	reach	Dahuk	Dahuk	1413378143784.jpg	town	Dahuk	Dahuk	7503080188	d. 6-7	5	10	6	6	7	29	4.None	3.Minor	4.None	2.Moderate	4.None	4.None	4.None	4.None	"36.8943898040312,42.991970293166"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	4.Low	42.99197029	36.8943898
”—‘Ê—	„«—Ê‰ „—Ê‰Ì	reach	Dahuk	Sumel	1413374478570.jpg	town	Dahuk	Sumel	7507795984	5-Apr	6	12	6	3	5	26	4.None	2.Moderate	3.Minor	2.Moderate	4.None	4.None	4.None	4.None	"36.9132637335015,42.7835705354784"	0	0	0	1	0	0	0	0	No	Yes	No	a. 0-49	 Concrete 	Cluster 1	4.Low	42.78357054	36.91326373
»Ì—Ê„Â —«	»«ŒÊ—‰Ì›	reach	Dahuk	Dahuk	1413378219469.jpg	town	Dahuk	Dahuk	7503959018	d. 6-7	6	12	11	9	7	39	4.None	3.Minor	4.None	2.Moderate	4.None	4.None	4.None	4.None	"36.8943249607199,42.9917457107659"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	4.Low	42.99174571	36.89432496
»Ì—Ê„Â —«	»«ŒÊ—‰Ì›	reach	Dahuk	Dahuk	1413378923168.jpg	town	Dahuk	Dahuk	7507421274	5-Apr	6	5	7	3	5	20	4.None	3.Minor	4.None	2.Moderate	4.None	4.None	4.None	4.None	"36.8944509434779,42.9912071404542"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	4.Low	42.99120714	36.89445094
 «ŒÌ “«‰ﬂÊ	 «ŒÌ ‘ÂÌœ«‰	iom	Dahuk	Sumel	1413360011502.jpg	city_centre	Dahuk	Sumel	7507742708	5-Apr	5	8	5	3	1	17	4.None	4.None	4.None	2.Moderate	4.None	4.None	4.None	2.Moderate	"36.8476917351958,42.8618268134851"	0	0	0	1	0	0	0	0	No	Yes	No	a. 0-49	 Concrete 	Cluster 4	4.Low	42.86182681	36.84769174
ÂÌﬂ· œ·ﬂ‘	ﬂ—Ì »«‰Ì	drc	Dahuk	Sumel	1413276960258.jpg	isolated	Dahuk	Sumel	7508209659	e. 8-10	25	95	35	20	25	175	4.None	1.Major	4.None	4.None	4.None	4.None	4.None	4.None	"36.7842810926959,42.9339751135558"	0	0	0	0	0	0	0	1	No	No	Yes	c. 100-249	Unfinished 	Cluster 2	4.Low	42.93397511	36.78428109
ﬂÊ·«‰« ”Ì»·	 «ŒÌ ‘ÂÌœ«‰	iom	Dahuk	Sumel	1413362247461.jpg	city_centre	Dahuk	Sumel	7503368430	5-Apr	5	7	7	4	3	21	4.None	2.Moderate	4.None	2.Moderate	4.None	4.None	4.None	4.None	"36.8472166209221,42.8590379561803"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	4.Low	42.85903796	36.84721662
 «ŒÌ ‘ÂÌœ«‰	”Ì„Ì· »«—ﬂ	iom	Dahuk	Sumel	1413363294735.jpg	city_centre	Dahuk	Sumel	7509951324	5-Apr	9	11	12	8	4	35	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"36.8467565846508,42.8603866733613"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	5.None	42.86038667	36.84675658
 «ŒÌ ‘ÂÌœ«‰	”Ì„Ì· »«—ﬂ	iom	Dahuk	Sumel	1413365450384.jpg	city_centre	Dahuk	Sumel	7503385666	d. 6-7	8	16	14	11	13	54	4.None	4.None	4.None	2.Moderate	4.None	4.None	4.None	4.None	"36.8477695919258,42.8594406284148"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 1	5.None	42.85944063	36.84776959
 «ŒÌ ‘ÂÌœ«‰	”Ì„Ì· »«—ﬂ	iom	Dahuk	Sumel	1413366524291.jpg	city_centre	Dahuk	Sumel	7503170129	d. 6-7	5	5	6	7	7	25	4.None	3.Minor	4.None	2.Moderate	4.None	4.None	4.None	4.None	"36.8485104494609,42.8586029050385"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	4.Low	42.85860291	36.84851045
999	”Ì„Ì· »«—ﬂ	iom	Dahuk	Sumel	1413375094937.jpg	city_centre	Dahuk	Sumel	7704131976	d. 6-7	12	15	17	20	10	62	4.None	4.None	4.None	2.Moderate	4.None	4.None	4.None	4.None	"36.8521668704624,42.870212445012"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 1	5.None	42.87021245	36.85216687
999	”Ì„Ì· »«—ﬂ	iom	Dahuk	Sumel	1413376524786.jpg	city_centre	Dahuk	Sumel	7503346032	e. 8-10	10	15	14	26	18	73	4.None	4.None	4.None	2.Moderate	4.None	4.None	4.None	4.None	"36.851027053574,42.8707116081338"	0	0	0	1	0	0	0	0	No	Yes	No	b. 50-99	 Concrete 	Cluster 1	5.None	42.87071161	36.85102705
 «ŒÌ ›—«‘Ì‰	”Ì„Ì· »«—ﬂ	iom	Dahuk	Sumel	1413379041095.jpg	city_centre	Dahuk	Sumel	7507864931	d. 6-7	9	9	14	14	19	56	4.None	4.None	4.None	2.Moderate	4.None	4.None	4.None	4.None	"36.8543886206952,42.8658740148199"	0	0	0	0	0	1	0	0	No	Yes	No	b. 50-99	 Shop 	Cluster 1	5.None	42.86587401	36.85438862
 «ŒÌ ›—«‘Ì‰	”Ì„Ì· »«—ﬂ	iom	Dahuk	Sumel	1413379913842.jpg	city_centre	Dahuk	Sumel	7507490896	d. 6-7	7	11	15	8	7	41	4.None	4.None	4.None	2.Moderate	4.None	4.None	4.None	4.None	"36.8521696223612,42.8650527330175"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	5.None	42.86505273	36.85216962
„ÃÌœ Õ«ÃÏ —Õ„«‰	«·«·ÂÏ ‘Ê«‰ﬂ«—Â ﬂÊ‰	iom	Sulaymaniyah	Sulaymaniya	1413368620007.jpg	city_suburb	Sulaymaniyah	Sulaymaniya	7507040081	e. 8-10	6	12	14	8	11	45	4.None	4.None	1.Major	4.None	3.Minor	3.Minor	4.None	4.None	"35.5821207036407,45.181651824339"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	4.Low	45.18165182	35.5821207
œÊ«Ã‰ ”«·«— Õ«ÃÏ ‰Ê—Ï	«·«ÂÌ    ﬁ—» „ﬁ»—…	iom	Sulaymaniyah	Sulaymaniya	1413370858233.jpg	isolated	Sulaymaniyah	Sulaymaniya	7503363953	d. 6-7	5	5	6	8	7	26	3.Minor	3.Minor	3.Minor	4.None	3.Minor	3.Minor	4.None	4.None	"35.5804318625502,45.1670464590261"	0	0	0	1	0	0	0	0	No	Yes	No	a. 0-49	 Concrete 	Cluster 1	2.High	45.16704646	35.58043186
ÂÊœÌ«‰	”«—œÊ	iom	Erbil	Soran	1413271601449.jpg	city_suburb	Erbil	Soran	7707417324	3-Jan	5	5	7	1	0	13	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"36.6971180603577,44.4776916594407"	0	0	0	0	0	0	1	0	No	Yes	No	a. 0-49	 Appart	Cluster 1	5.None	44.47769166	36.69711806
Â”›Ì«‰ ”—»”  ”·Ì„«‰	Œ—‘Ì‰…	drc	Dahuk	Sumel	1413278642388.jpg	isolated	Dahuk	Sumel	7507581713	e. 8-10	10	20	21	18	17	76	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"36.7699979525059,42.9697663430125"	0	0	0	0	0	0	0	1	No	No	Yes	b. 50-99	Unfinished 	Cluster 1	5.None	42.96976634	36.76999795
»«Ì“«Ê«	Ê«—„«ÊÂ	iom	Sulaymaniyah	Sulaymaniya	1413371975515.jpg	city_suburb	Sulaymaniyah	Darbandihkan	7710061503	e. 8-10	5	6	9	15	6	36	3.Minor	4.None	3.Minor	4.None	4.None	3.Minor	4.None	4.None	"35.3036575350958,45.6726160778366"	0	0	0	1	0	0	0	1	No	Yes	Yes	a. 0-49	Unfinished Concrete 	Cluster 1	4.Low	45.67261608	35.30365754
»«Ì“ «Ê«	Ê«—„«Ê«	iom	Sulaymaniyah	Sulaymaniya	1413373372963.jpg	city_suburb	Sulaymaniyah	Darbandihkan	7813078031	d. 6-7	5	6	8	8	5	27	3.Minor	4.None	3.Minor	4.None	3.Minor	4.None	3.Minor	4.None	"35.3037244135643,45.6713558363392"	0	0	0	1	0	0	0	1	No	Yes	Yes	a. 0-49	Unfinished Concrete 	Cluster 3	3.Medium	45.67135584	35.30372441
»«Ì“ «Ê«	Ê«—„«ÊÂ	iom	Sulaymaniyah	Sulaymaniya	1413374466774.jpg	city_suburb	Sulaymaniyah	Darbandihkan	7824873092	5-Apr	6	5	8	9	5	27	3.Minor	4.None	3.Minor	4.None	4.None	4.None	4.None	4.None	"35.3052891076717,45.6721610893094"	0	0	0	1	0	0	0	1	No	Yes	Yes	a. 0-49	Unfinished Concrete 	Cluster 1	4.Low	45.67216109	35.30528911
»«Ì“  «Ê«	Ê«—„« Ê«	iom	Sulaymaniyah	Sulaymaniya	1413375597590.jpg	city_suburb	Sulaymaniyah	Darbandihkan	7805284646	d. 6-7	11	16	16	21	20	73	2.Moderate	4.None	1.Major	4.None	4.None	4.None	4.None	4.None	"35.3062224180246,45.6684897608176"	0	0	0	1	0	0	0	1	No	Yes	Yes	b. 50-99	Unfinished Concrete 	Cluster 2	5.None	45.66848976	35.30622242
„Õ·… ‘Ì·«‰ -»«ÿÊ›«	ﬁ—Ì»… „‰ ”Êﬁ »«ÿÊ›«	unhcr	Dahuk	Zakho	1413369126161.jpg	city_suburb	Dahuk	Zakho	7507768932	d. 6-7	7	12	11	6	7	36	4.None	3.Minor	3.Minor	4.None	4.None	4.None	4.None	4.None	"37.1707390116787,43.0096279379756"	0	0	1	0	0	0	0	1	No	Yes	Yes	a. 0-49	Unfinished Mix 	Cluster 1	4.Low	43.00962794	37.17073901
»«ÿÊ›«	ﬁ—Ì»… „‰ ”Ìÿ—… »«ÿÊ›«	unhcr	Dahuk	Zakho	1413365480728.jpg	city_suburb	Dahuk	Zakho	7503121791	d. 6-7	17	23	20	26	17	86	4.None	4.None	3.Minor	4.None	3.Minor	4.None	4.None	4.None	"37.1809661921626,43.0191047978248"	0	1	0	0	0	0	0	1	Yes	No	Yes	b. 50-99	Unfinished Mud 	Cluster 1	4.Low	43.0191048	37.18096619
»«ÿÊ›…	»Ã«‰» œ«∆—… «·ﬂÂ—»«¡	unhcr	Dahuk	Zakho	1413368184507.jpg	city_suburb	Dahuk	Zakho	7503546234	5-Apr	8	9	8	9	11	37	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"37.1744381995014,43.0114946965639"	0	0	1	0	0	0	0	1	No	Yes	Yes	a. 0-49	Unfinished Mix 	Cluster 1	5.None	43.0114947	37.1744382
„Õ·… ŒÂ »«  -»«ÿÊ›«	ﬁ—Ì»… „‰ „Õ·… ‘Ì·«‰-»«ÿÊ›…	unhcr	Dahuk	Zakho	1413370255250.jpg	city_suburb	Dahuk	Zakho	7507239583	d. 6-7	5	6	7	7	5	25	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"37.1727504025366,43.0048318331453"	0	0	1	0	0	0	0	1	No	Yes	Yes	a. 0-49	Unfinished Mix 	Cluster 1	5.None	43.00483183	37.1727504
ŒÂ »« 	ŒÂ »« 	unhcr	Dahuk	Zakho	1413371408220.jpg	city_suburb	Dahuk	Zakho	7507478217	d. 6-7	8	13	10	10	8	41	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"37.1752066774283,43.0071033289913"	0	0	1	0	0	0	0	1	No	Yes	Yes	a. 0-49	Unfinished Mix 	Cluster 1	5.None	43.00710333	37.17520668
»‰«Ì… ÃÌ‘ «·‘⁄»Ì	ﬁ—Ì»… „‰ »·œÌ… »«ÿÊ›«	unhcr	Dahuk	Zakho	1413372846088.jpg	city_suburb	Dahuk	Zakho	7508819577	d. 6-7	23	35	42	35	35	147	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"37.1757813986595,43.0096604555941"	0	0	1	0	0	0	0	1	No	Yes	Yes	c. 100-249	Unfinished Mix 	Cluster 1	5.None	43.00966046	37.1757814
ÂÌﬂ· ‰Ã„	Œ—‘Ì‰…	drc	Dahuk	Sumel	1413279216485.jpg	isolated	Dahuk	Sumel	7501939655	d. 6-7	5	12	6	5	2	25	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"36.7689514299855,42.9687119834125"	0	0	0	0	0	0	0	1	No	No	Yes	a. 0-49	Unfinished 	Cluster 1	5.None	42.96871198	36.76895143
›—⁄ „Œ“‰ „Ê«œ €“«∆Ì…	ŒÂ »« -»«ÿÊ›«	unhcr	Dahuk	Zakho	1413374086717.jpg	city_suburb	Dahuk	Zakho	7507292909	d. 6-7	6	7	9	8	7	31	4.None	4.None	4.None	4.None	4.None	4.None	4.None	4.None	"37.175290227005,43.0096259803805"	0	0	0	1	0	0	0	1	No	Yes	Yes	a. 0-49	Unfinished Concrete 	Cluster 1	5.None	43.00962598	37.17529023
»Œ Ì«—Ì	„—ﬂ“ «·’ÕÌ 	iom	Diyala	Khanaqin	1413377114444.jpg	city_suburb	Diyala	Khanaqin	7707047750	5-Apr	6	9	7	3	5	24	2.Moderate	3.Minor	3.Minor	2.Moderate	4.None	1.Major	4.None	4.None	"34.3120264753241,45.3481215388376"	0	0	0	1	0	0	0	1	No	Yes	Yes	a. 0-49	Unfinished Concrete 	Cluster 2	3.Medium	45.34812154	34.31202648
»Œ Ì«—Ì	„” Ê’› »Œ Ì«—Ì	iom	Diyala	Khanaqin	1413378127767.jpg	city_suburb	Diyala	Khanaqin	7712701664	5-Apr	7	8	8	4	10	30	2.Moderate	2.Moderate	3.Minor	2.Moderate	4.None	1.Major	4.None	4.None	"34.3104120862623,45.346114596117"	0	0	0	1	0	0	0	1	No	Yes	Yes	a. 0-49	Unfinished Concrete 	Cluster 2	3.Medium	45.3461146	34.31041209
»Œ Ì«—Ì	„” Ê’› »Œ Ì«—Ì	iom	Diyala	Khanaqin	1413378712946.jpg	city_suburb	Diyala	Khanaqin	7719615659	5-Apr	6	12	6	3	1	22	1.Major	2.Moderate	3.Minor	3.Minor	3.Minor	3.Minor	4.None	4.None	"34.3096844580812,45.3470921156474"	0	0	1	0	0	0	0	1	No	Yes	Yes	a. 0-49	Unfinished Mix 	Cluster 1	2.High	45.34709212	34.30968446
»Œ Ì«—Ì	ﬂ„» »Â«—  «“« 	iom	Diyala	Khanaqin	1413379649022.jpg	city_suburb	Diyala	Khanaqin	7715952627	d. 6-7	7	11	7	10	8	36	4.None	3.Minor	4.None	1.Major	4.None	4.None	4.None	4.None	"34.3055248148088,45.348089212796"	0	0	0	1	0	0	1	1	No	Yes	Yes	a. 0-49	Unfinished Concrete Appart	Cluster 1	3.Medium	45.34808921	34.30552481
»Â«—  «“«	„ŒÌ„ »Â«—  «“« 	iom	Diyala	Khanaqin	1413380990283.jpg	city_suburb	Diyala	Khanaqin	7722052714	e. 8-10	6	17	18	6	8	49	3.Minor	2.Moderate	2.Moderate	2.Moderate	4.None	4.None	4.None	4.None	"34.3045536966606,45.348530411608"	0	0	0	1	0	0	0	1	No	Yes	Yes	a. 0-49	Unfinished Concrete 	Cluster 1	4.Low	45.34853041	34.3045537
»Â«—  «“«	„ŒÌ„ »Â«—  «“«	iom	Diyala	Khanaqin	1413381547951.jpg	city_suburb	Diyala	Khanaqin	7710293919	d. 6-7	9	12	18	13	10	53	3.Minor	3.Minor	3.Minor	1.Major	3.Minor	4.None	4.None	4.None	"34.3039548978911,45.3485227350224"	0	0	0	1	0	0	1	1	No	Yes	Yes	b. 50-99	Unfinished Concrete Appart	Cluster 1	2.High	45.34852274	34.3039549
»Â«—  «“«	„ŒÌ„ »Â«—  «“«	iom	Diyala	Khanaqin	1413382020563.jpg	city_suburb	Diyala	Khanaqin	7712415071	d. 6-7	5	6	6	9	12	33	2.Moderate	1.Major	2.Moderate	1.Major	1.Major	1.Major	4.None	4.None	"34.3042821682227,45.3477931351258"	0	0	1	0	0	0	0	1	No	Yes	Yes	a. 0-49	Unfinished Mix 	Cluster 2	1.Extreme	45.34779314	34.30428217
»Â«—  «“«	„ŒÌ„ »Â«—  «“«	iom	Diyala	Khanaqin	1413382827442.jpg	city_suburb	Diyala	Khanaqin	7716835704	5-Apr	5	6	6	8	3	23	3.Minor	2.Moderate	3.Minor	2.Moderate	2.Moderate	1.Major	4.None	4.None	"34.3033661746217,45.3494538036904"	0	0	1	0	0	0	0	1	No	Yes	Yes	a. 0-49	Unfinished Mix 	Cluster 2	2.High	45.3494538	34.30336617
